F1 cross,Female no.,No. of embryos,A,AB,B,WT,All A,A %,All B,B %,B+WT,Total,Notes
,18,157,42,59,2,0,101,98.05825243,61,59.22330097,2,103,
,19,130,70,60,0,0,130,100,60,46.15384615,0,130,
,20,63,32,28,0,0,60,100,28,46.66666667,0,60,
,21,44,14,20,1,0,34,97.14285714,21,60,1,35,
,22,128,60,59,1,1,119,98.34710744,60,49.58677686,2,121,
,23,20,6,10,0,0,16,100,10,62.5,0,16,
,24,157,17,16,0,0,33,100,16,48.48484848,0,33,
,25,98,42,54,0,0,96,100,54,56.25,0,96,
,26,171,85,78,0,0,163,100,78,47.85276074,0,163,
,27,83,42,40,0,0,82,100,40,48.7804878,0,82,
,28,26,1,4,0,0,5,100,4,80,0,5,
,29,152,70,65,1,0,135,99.26470588,66,48.52941176,1,136,
,30,0,-,-,-,-,-,-,-,-,-,-,Dead female
,31,100,32,45,0,0,77,100,45,58.44155844,0,77,
,32,161,52,58,1,1,110,98.21428571,59,52.67857143,2,112,
,33,164,60,43,0,0,103,100,43,41.74757282,0,103,
,34,162,-,-,-,-,-,-,-,-,-,-,"Dead female, eggs didn't hatch"
,35,85,30,37,0,0,67,100,37,55.2238806,0,67,
,36,0,-,-,-,-,-,-,-,-,-,-,
,37,60,27,27,2,0,54,96.42857143,29,51.78571429,2,56,
,38,7,1,2,0,0,3,100,2,66.66666667,0,3,
,39,61,21,13,1,1,34,94.44444444,14,38.88888889,2,36,
,40,0,-,-,-,-,-,-,-,-,-,-,
,41,47,26,19,0,1,45,97.82608696,19,41.30434783,1,46,
,42,0,-,-,-,-,-,-,-,-,-,-,DNBF
,43,3,2,0,0,1,2,66.66666667,0,0,1,3,DNBF
,44,0,-,-,-,-,-,-,-,-,-,-,DNBF
,45,0,-,-,-,-,-,-,-,-,-,-,DNBF
,,,,,,,,,,,,,
,,,,,,,,,,,,,
(2073:2288)xSDA-500,,,,,,,,,,,,,
,1,0,-,-,-,-,-,-,-,-,-,-,Dead female
,2,108,1,0,0,0,1,100,0,0,0,1,
,3,2,-,-,-,-,-,-,-,-,-,-,Dead female
,4,0,-,-,-,-,-,-,-,-,-,-,
